estado,municipio,businesses,employees,Payroll,expenditures,income,payroll_employee_day,profits_biz_day,sales_employee_day,employees_unit
Chihuahua,Huejotitan,4,24,,6.410636193,7.065952557,,455.0808083,817.818583,6
Chihuahua,Ignacio Zaragoza,56,464,12.44759035,333.2105698,396.9117849,74.5186204,2542.342496,2376.148137,8.285714286
Chihuahua,Janos,31,173,1.552972873,186.2538607,207.4857308,24.93533836,1763.342045,3331.498567,5.580645161
Chihuahua,Jimenez,498,3915,93.44574743,2715.305394,3304.0934,66.30179327,2762.953249,2344.326238,7.861445783
Chihuahua,Juarez,9349,105960,4057.945587,121044.4104,142347.6858,106.3804367,5123.937754,3731.693454,11.3338325
Chihuahua,Julimes,26,112,0.939475335,33.96381142,42.76402276,23.30047953,839.8222225,1060.615644,4.307692308
Chihuahua,La Cruz,21,98,0.445014632,20.16669238,24.90363572,12.61379343,567.7154371,705.8853661,4.666666667
Chihuahua,Lopez,36,158,1.615238295,72.05806289,90.1495468,28.39729773,1271.315248,1584.907644,4.388888889
Chihuahua,Madera,299,1921,39.32793921,980.1051144,1199.61005,56.86844122,1673.885136,1734.643487,6.424749164
Chihuahua,Maguarichi,8,37,,7.07730371,8.92262556,,640.7367536,669.8667838,4.625
Chihuahua,Manuel Benavides,15,75,0.364435851,16.24398206,19.84571538,13.49762412,599.4995296,735.0264954,5
Chihuahua,Matachi,36,166,1.563960889,89.37692555,112.4876439,26.1706976,1662.558443,1882.323358,4.611111111
Chihuahua,Matamoros,32,170,1.280103819,31.60632049,40.64499379,20.91672906,673.4869337,664.1338854,5.3125
Chihuahua,Meoqui,403,2616,43.64806068,1183.455615,1465.757566,46.34732913,1644.98132,1556.402444,6.491315136
Chihuahua,Morelos,10,58,0.597015515,10.66184934,16.1525506,28.59269707,1359.35715,773.589588,5.8
Chihuahua,Moris,21,117,0.999909421,35.94690574,51.52519849,23.7395399,1928.357584,1223.295311,5.571428571
Chihuahua,Namiquipa,160,1108,21.61892072,602.0853087,764.8660298,54.19905915,2450.7257,1917.53417,6.925
Chihuahua,Nonoava,23,98,0.57687082,27.67394833,34.03816417,16.35121371,698.9547133,964.8005718,4.260869565
Chihuahua,Nuevo Casas Grandes,667,6912,252.5760208,6841.337225,8258.978481,101.504638,4852.012472,3319.098219,10.36281859
Chihuahua,Ocampo,7,37,0.098892141,11.47586004,15.10060407,7.424334873,1399.147575,1133.678984,5.285714286
Chihuahua,Ojinaga,278,2389,79.37559344,1662.24125,2206.274944,92.29290898,4642.86671,2565.316664,8.59352518
Chihuahua,Praxedis G. Guerrero,68,493,6.043408586,203.147602,241.6651635,34.05120907,1326.558535,1361.647304,7.25
Chihuahua,Riva Palacio,12,68,0.097060805,32.80680511,33.98014314,3.964902147,249.1382462,1388.077743,5.666666667
Chihuahua,Rosales,58,294,4.078385128,124.9252801,154.8707459,38.53349516,1238.844864,1463.253457,5.068965517
Chihuahua,Rosario,5,16,,2.724641155,3.392969007,,371.2932511,589.0571193,3.2
Chihuahua,San Francisco de Borja,20,76,0.159326226,22.81645421,27.82739117,5.823326987,673.8348232,1017.08301,3.8
Chihuahua,San Francisco de Conchos,7,44,0.664774944,31.24400119,36.95939697,41.96811518,2004.214617,2333.295263,6.285714286
Chihuahua,San Francisco del Oro,51,264,1.133596944,56.45417826,80.39444557,11.92757727,1242.193375,845.9011529,5.176470588
Chihuahua,Santa Barbara,130,744,4.957426377,208.0340817,255.4943502,18.50890971,908.1803883,953.9066242,5.723076923
Chihuahua,Santa Isabel,33,204,3.655346527,74.40830743,95.37900758,49.77323702,1457.521348,1298.733763,6.181818182
Chihuahua,Satevo,6,40,0.809450483,12.04832454,26.96464366,56.21183912,6530.9577,1872.544698,6.666666667
Chihuahua,Saucillo,263,1444,22.6169988,681.4308205,823.8456694,43.50761542,1265.292037,1584.806228,5.490494297
Chihuahua,Temosachic,33,175,1.287429162,42.88169719,58.66935331,20.43538353,1220.557825,931.2595763,5.303030303
Chihuahua,Urique,18,106,3.245127277,50.6836395,65.23077516,85.04002299,1744.137096,1709.401865,5.888888889
Chihuahua,Uruachi,16,73,0.33330314,30.19327521,35.06740682,12.68276789,788.3382751,1334.376211,4.5625
Chihuahua,Valle de Zaragoza,43,268,5.450055743,117.0001492,153.6951894,56.48896915,2018.40985,1593.026424,6.23255814
CDMX,alvaro Obregon,5331,75586,1610.616118,272502.323,288313.6663,59.18997778,7399.449345,10595.49778,14.17857813
CDMX,Azcapotzalco,5015,69736,1220.004997,123049.1143,130442.9268,48.59617369,3419.634158,5195.902595,13.90548355
CDMX,Benito Juarez,4828,106858,2823.25484,208800.1803,237291.2798,73.39061703,14767.93052,6168.395851,22.13297432
CDMX,Coyoacan,5192,67230,1035.418382,108148.5155,121325.2847,42.7809337,6495.757811,5012.861516,12.94876733
CDMX,Cuajimalpa de Morelos,1638,31419,617.6232648,107858.0822,118504.4101,54.60454438,17007.02874,10477.06537,19.18131868
CDMX,Cuauhtemoc,21153,236282,4196.666097,299303.3147,337538.0929,49.33683406,4469.829875,3968.16437,11.17014135
CDMX,Estatal,115893,1281906,21921.15738,3669055.219,3820699.617,47.50122383,3109.26749,8279.120694,11.06111672
CDMX,Gustavo A. Madero,13213,116088,1378.802192,178989.7889,189230.1163,32.99226526,1862.96435,4527.93753,8.785892681
